name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,audio_features,id,uri,track_href,analysis_url,duration_ms,time_signature,target
Psychotic Reaction - Rarities Version,Count Five,0.355,0.761,11,-6.309,1,0.0978,0.000288,0.0141,0.189,0.685,165.209,audio_features,,296AZHApFeW2g1qwD6WTcc,spotify:track:296AZHApFeW2g1qwD6WTcc,https://api.spotify.com/v1/tracks/296AZHApFeW2g1qwD6WTcc,https://api.spotify.com/v1/audio-analysis/296AZHApFeW2g1qwD6WTcc,189848,4,rock
Slip Inside This House - Stereo LP Version,13th Floor Elevators,0.555,0.694,9,-8.453,0,0.0426,0.101,0,0.123,0.602,127.423,audio_features,,4GVRHAwABAV0v63YX9Go0p,spotify:track:4GVRHAwABAV0v63YX9Go0p,https://api.spotify.com/v1/tracks/4GVRHAwABAV0v63YX9Go0p,https://api.spotify.com/v1/audio-analysis/4GVRHAwABAV0v63YX9Go0p,482278,4,rock
I Had Too Much to Dream (Last Night),The Electric Prunes,0.341,0.714,2,-7.998,0,0.0404,0.354,0,0.31,0.412,147.604,audio_features,,5YgCmkSdGukXqK3fJlX4pQ,spotify:track:5YgCmkSdGukXqK3fJlX4pQ,https://api.spotify.com/v1/tracks/5YgCmkSdGukXqK3fJlX4pQ,https://api.spotify.com/v1/audio-analysis/5YgCmkSdGukXqK3fJlX4pQ,178144,4,rock
96 Tears,? & The Mysterians,0.68,0.507,7,-5.929,1,0.0336,0.0586,6.49e-06,0.0754,0.854,123.47,audio_features,,5kIGcBxKdSWuEh6hLlOukV,spotify:track:5kIGcBxKdSWuEh6hLlOukV,https://api.spotify.com/v1/tracks/5kIGcBxKdSWuEh6hLlOukV,https://api.spotify.com/v1/audio-analysis/5kIGcBxKdSWuEh6hLlOukV,177427,4,rock
Have Love Will Travel,The Sonics,0.506,0.948,10,-5.626,1,0.105,0.727,0,0.0904,0.934,130.195,audio_features,,2uXkW8uJcOIhlbUatEPLPs,spotify:track:2uXkW8uJcOIhlbUatEPLPs,https://api.spotify.com/v1/tracks/2uXkW8uJcOIhlbUatEPLPs,https://api.spotify.com/v1/audio-analysis/2uXkW8uJcOIhlbUatEPLPs,160400,4,rock
Kick out the Jams,MC5,0.329,0.806,1,-11.925,1,0.0596,0.0565,0.21,0.355,0.619,142.625,audio_features,,4l1Yx4GK7GU55Xtwl9we9U,spotify:track:4l1Yx4GK7GU55Xtwl9we9U,https://api.spotify.com/v1/tracks/4l1Yx4GK7GU55Xtwl9we9U,https://api.spotify.com/v1/audio-analysis/4l1Yx4GK7GU55Xtwl9we9U,181760,4,rock
I Hate You,The Monks,0.65,0.798,9,-8.126,0,0.0541,0.441,0.000706,0.137,0.464,110.646,audio_features,,3XrPNRdFbGZESTGPte23dD,spotify:track:3XrPNRdFbGZESTGPte23dD,https://api.spotify.com/v1/tracks/3XrPNRdFbGZESTGPte23dD,https://api.spotify.com/v1/audio-analysis/3XrPNRdFbGZESTGPte23dD,213707,4,rock
I Wanna Be Your Dog,The Stooges,0.527,0.871,4,-8.708,1,0.0354,0.0229,0.155,0.419,0.107,120.722,audio_features,,672N8DGGTOLCOgWe0koX5g,spotify:track:672N8DGGTOLCOgWe0koX5g,https://api.spotify.com/v1/tracks/672N8DGGTOLCOgWe0koX5g,https://api.spotify.com/v1/audio-analysis/672N8DGGTOLCOgWe0koX5g,188560,4,rock
I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground,0.682,0.621,7,-9.653,1,0.0451,0.025,0.852,0.153,0.861,125.91,audio_features,,2J9GLqNATExevUPvpLU1Sl,spotify:track:2J9GLqNATExevUPvpLU1Sl,https://api.spotify.com/v1/tracks/2J9GLqNATExevUPvpLU1Sl,https://api.spotify.com/v1/audio-analysis/2J9GLqNATExevUPvpLU1Sl,279520,4,rock
Eight Miles High,The Byrds,0.364,0.768,9,-10.492,1,0.0757,0.21,0.136,0.503,0.37,130.602,audio_features,,2BGNomqCxEDcXyxf8bg27k,spotify:track:2BGNomqCxEDcXyxf8bg27k,https://api.spotify.com/v1/tracks/2BGNomqCxEDcXyxf8bg27k,https://api.spotify.com/v1/audio-analysis/2BGNomqCxEDcXyxf8bg27k,214640,4,rock
Wipe Out,The Surfaris,0.461,0.955,11,-6.684,1,0.0489,0.111,0.532,0.952,0.725,160.073,audio_features,,4SDGb2V6J2rEbxNujwNeMl,spotify:track:4SDGb2V6J2rEbxNujwNeMl,https://api.spotify.com/v1/tracks/4SDGb2V6J2rEbxNujwNeMl,https://api.spotify.com/v1/audio-analysis/4SDGb2V6J2rEbxNujwNeMl,166092,4,rock
Arnold Layne - 2016 Remastered Version,Pink Floyd,0.297,0.561,2,-8.266,1,0.0326,0.292,1.98e-06,0.0752,0.234,132.548,audio_features,,10MTJevhB5UbnhK7In4vav,spotify:track:10MTJevhB5UbnhK7In4vav,https://api.spotify.com/v1/tracks/10MTJevhB5UbnhK7In4vav,https://api.spotify.com/v1/audio-analysis/10MTJevhB5UbnhK7In4vav,176707,4,rock
Route 66 (feat. EST Gee),Jack Harlow,0.914,0.463,6,-10.187,0,0.174,0.038,0,0.0833,0.532,144.039,audio_features,,5faz5WYRJdRDiCa42DSgHR,spotify:track:5faz5WYRJdRDiCa42DSgHR,https://api.spotify.com/v1/tracks/5faz5WYRJdRDiCa42DSgHR,https://api.spotify.com/v1/audio-analysis/5faz5WYRJdRDiCa42DSgHR,153360,4,hip-hop
Beat Box 3 (feat. DaBaby),SpotemGottem,0.853,0.426,1,-6.812,1,0.374,0.0765,0,0.104,0.201,160.051,audio_features,,6toQdWWc4noiOk3Eo5mVDS,spotify:track:6toQdWWc4noiOk3Eo5mVDS,https://api.spotify.com/v1/tracks/6toQdWWc4noiOk3Eo5mVDS,https://api.spotify.com/v1/audio-analysis/6toQdWWc4noiOk3Eo5mVDS,200424,4,hip-hop
Don't Forget,Blxst,0.69,0.517,8,-4.777,1,0.425,0.589,0,0.354,0.46,114.775,audio_features,,32L9DViHKXitrFghJ4XBhk,spotify:track:32L9DViHKXitrFghJ4XBhk,https://api.spotify.com/v1/tracks/32L9DViHKXitrFghJ4XBhk,https://api.spotify.com/v1/audio-analysis/32L9DViHKXitrFghJ4XBhk,164241,3,hip-hop
Fast Car Music (STAIN),YBN Nahmir,0.816,0.675,2,-5.563,1,0.309,0.0128,0,0.213,0.169,144.034,audio_features,,1VyPvQratkf9ZiYN7FjPGz,spotify:track:1VyPvQratkf9ZiYN7FjPGz,https://api.spotify.com/v1/tracks/1VyPvQratkf9ZiYN7FjPGz,https://api.spotify.com/v1/audio-analysis/1VyPvQratkf9ZiYN7FjPGz,109991,4,hip-hop
