name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,audio_features,id,uri,track_href,analysis_url,duration_ms,time_signature,target
Cleopatra,Marzz,0.779,0.621,1,-5.771,0,0.0346,0.145,0,0.155,0.742,133.993,audio_features,,7L5v02KAUhLwsBCAGxLolx,spotify:track:7L5v02KAUhLwsBCAGxLolx,https://api.spotify.com/v1/tracks/7L5v02KAUhLwsBCAGxLolx,https://api.spotify.com/v1/audio-analysis/7L5v02KAUhLwsBCAGxLolx,200853,4,other
Situation,Ruth B.,0.686,0.589,7,-8.009,1,0.134,0.748,0.0205,0.0965,0.372,159.991,audio_features,,3bpiz3jxPzSBZQ1qw5hLuf,spotify:track:3bpiz3jxPzSBZQ1qw5hLuf,https://api.spotify.com/v1/tracks/3bpiz3jxPzSBZQ1qw5hLuf,https://api.spotify.com/v1/audio-analysis/3bpiz3jxPzSBZQ1qw5hLuf,210720,4,other
Passionate,Queen Naija,0.468,0.446,9,-6.996,1,0.0417,0.651,2.48e-06,0.171,0.172,137.982,audio_features,,5yhxcKL2OEEJJLwn8Aekve,spotify:track:5yhxcKL2OEEJJLwn8Aekve,https://api.spotify.com/v1/tracks/5yhxcKL2OEEJJLwn8Aekve,https://api.spotify.com/v1/audio-analysis/5yhxcKL2OEEJJLwn8Aekve,231483,4,other
Complicated,Yarah,0.687,0.285,11,-14.234,0,0.202,0.36,9.7e-06,0.0829,0.368,124.979,audio_features,,5PFjBc1ilRlWmjYjmFSFjB,spotify:track:5PFjBc1ilRlWmjYjmFSFjB,https://api.spotify.com/v1/tracks/5PFjBc1ilRlWmjYjmFSFjB,https://api.spotify.com/v1/audio-analysis/5PFjBc1ilRlWmjYjmFSFjB,225198,4,other
Cooking With Grease,Shelley FKA DRAM,0.547,0.523,7,-7.595,0,0.142,0.229,6.05e-06,0.101,0.408,169.569,audio_features,,1AXQGKyaAp4JbRjHnCTBIr,spotify:track:1AXQGKyaAp4JbRjHnCTBIr,https://api.spotify.com/v1/tracks/1AXQGKyaAp4JbRjHnCTBIr,https://api.spotify.com/v1/audio-analysis/1AXQGKyaAp4JbRjHnCTBIr,192797,4,other
Dynamite.,Gallant,0.358,0.356,8,-7.477,0,0.0543,0.799,0,0.196,0.231,81.154,audio_features,,5Jg9DV3m2umJpoHXV2e6j8,spotify:track:5Jg9DV3m2umJpoHXV2e6j8,https://api.spotify.com/v1/tracks/5Jg9DV3m2umJpoHXV2e6j8,https://api.spotify.com/v1/audio-analysis/5Jg9DV3m2umJpoHXV2e6j8,211347,4,other
Waiting,Shantel May,0.768,0.323,7,-8.456,1,0.0888,0.556,0,0.171,0.422,82.473,audio_features,,4MK4V81KxHqScXznPvgENh,spotify:track:4MK4V81KxHqScXznPvgENh,https://api.spotify.com/v1/tracks/4MK4V81KxHqScXznPvgENh,https://api.spotify.com/v1/audio-analysis/4MK4V81KxHqScXznPvgENh,240000,3,other
gold fronts (feat. Lil Wayne),Fousheé,0.479,0.442,6,-8.764,1,0.124,0.858,0,0.229,0.277,99.406,audio_features,,7yOEBtOgzkgN52pfM7SOnm,spotify:track:7yOEBtOgzkgN52pfM7SOnm,https://api.spotify.com/v1/tracks/7yOEBtOgzkgN52pfM7SOnm,https://api.spotify.com/v1/audio-analysis/7yOEBtOgzkgN52pfM7SOnm,235979,4,other
Insecure (feat. Pink Sweat$),Bren Joy,0.462,0.397,9,-5.72,1,0.115,0.857,0,0.091,0.298,154.955,audio_features,,13KLstO6ywva9h94FOqpeW,spotify:track:13KLstO6ywva9h94FOqpeW,https://api.spotify.com/v1/tracks/13KLstO6ywva9h94FOqpeW,https://api.spotify.com/v1/audio-analysis/13KLstO6ywva9h94FOqpeW,181183,4,other
My City ft. Masego,ELHAE,0.761,0.536,11,-7.487,0,0.119,0.0754,0,0.154,0.525,133.04,audio_features,,3Q8RBppQeYLLHafNb2cJTz,spotify:track:3Q8RBppQeYLLHafNb2cJTz,https://api.spotify.com/v1/tracks/3Q8RBppQeYLLHafNb2cJTz,https://api.spotify.com/v1/audio-analysis/3Q8RBppQeYLLHafNb2cJTz,190376,4,other
