name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,audio_features,id,uri,track_href,analysis_url,duration_ms,time_signature,target
Need To Not,Jordan Davis,0.668,0.701,7,-5.699,1,0.0373,0.26,0,0.0996,0.512,109.993,audio_features,,4Ls9R1CiOmiBe8A3U2WFNR,spotify:track:4Ls9R1CiOmiBe8A3U2WFNR,https://api.spotify.com/v1/tracks/4Ls9R1CiOmiBe8A3U2WFNR,https://api.spotify.com/v1/audio-analysis/4Ls9R1CiOmiBe8A3U2WFNR,182615,4,country
Bad Spot,Jaden Hamilton,0.423,0.838,1,-5.919,1,0.0629,0.0166,9.45E-06,0.375,0.32,148.139,audio_features,,3LpnVmXHSlv5065iCRg8B3,spotify:track:3LpnVmXHSlv5065iCRg8B3,https://api.spotify.com/v1/tracks/3LpnVmXHSlv5065iCRg8B3,https://api.spotify.com/v1/audio-analysis/3LpnVmXHSlv5065iCRg8B3,197802,4,country
Upbringing,Chase Bryant,0.542,0.809,3,-4.683,1,0.0354,0.00655,0.00229,0.0894,0.229,122.039,audio_features,,7Fr7PZTfbTY9RBf2OKJJmb,spotify:track:7Fr7PZTfbTY9RBf2OKJJmb,https://api.spotify.com/v1/tracks/7Fr7PZTfbTY9RBf2OKJJmb,https://api.spotify.com/v1/audio-analysis/7Fr7PZTfbTY9RBf2OKJJmb,203587,4,country
Not Your Girl,Tiera,0.566,0.751,2,-4.595,1,0.0332,0.0336,0,0.351,0.653,90.011,audio_features,,6FlDHz8m1LARwqKCuDfvmF,spotify:track:6FlDHz8m1LARwqKCuDfvmF,https://api.spotify.com/v1/tracks/6FlDHz8m1LARwqKCuDfvmF,https://api.spotify.com/v1/audio-analysis/6FlDHz8m1LARwqKCuDfvmF,200541,4,country
Joy Of My Life,Chris Stapleton,0.63,0.485,3,-8.955,1,0.0299,0.223,0.0535,0.103,0.398,149.23,audio_features,,4EuaDcxHmHKS6gZ5iuGba0,spotify:track:4EuaDcxHmHKS6gZ5iuGba0,https://api.spotify.com/v1/tracks/4EuaDcxHmHKS6gZ5iuGba0,https://api.spotify.com/v1/audio-analysis/4EuaDcxHmHKS6gZ5iuGba0,274520,4,country
Red In My Last Name,Redferrin,0.572,0.951,1,-3.303,0,0.0441,0.0105,0.000138,0.206,0.727,105.027,audio_features,,5MMbbkcNpHBcnbbBLLIrli,spotify:track:5MMbbkcNpHBcnbbBLLIrli,https://api.spotify.com/v1/tracks/5MMbbkcNpHBcnbbBLLIrli,https://api.spotify.com/v1/audio-analysis/5MMbbkcNpHBcnbbBLLIrli,187948,4,country
Where the Neon Lies (with Ronnie Dunn),Triston Marez,0.559,0.801,7,-6.09,1,0.0365,0.163,8.41E-06,0.141,0.13,112.923,audio_features,,7EiReSdSNMGYz2ki0RRiYP,spotify:track:7EiReSdSNMGYz2ki0RRiYP,https://api.spotify.com/v1/tracks/7EiReSdSNMGYz2ki0RRiYP,https://api.spotify.com/v1/audio-analysis/7EiReSdSNMGYz2ki0RRiYP,242360,4,country
She Broke My Heart,Noah Schnacky,0.544,0.869,1,-3.455,1,0.0763,0.00106,8.85E-05,0.0881,0.701,167.984,audio_features,,5lyyBTTdB9tlNKvni9VwvZ,spotify:track:5lyyBTTdB9tlNKvni9VwvZ,https://api.spotify.com/v1/tracks/5lyyBTTdB9tlNKvni9VwvZ,https://api.spotify.com/v1/audio-analysis/5lyyBTTdB9tlNKvni9VwvZ,180503,4,country
Smoke In A Bar,Travis Tritt,0.59,0.455,2,-7.975,1,0.0274,0.088,0,0.104,0.264,126.655,audio_features,,3LP1WoisvGEGM68Qp37q7h,spotify:track:3LP1WoisvGEGM68Qp37q7h,https://api.spotify.com/v1/tracks/3LP1WoisvGEGM68Qp37q7h,https://api.spotify.com/v1/audio-analysis/3LP1WoisvGEGM68Qp37q7h,262467,3,country
Shoulda,Kylie Morgan,0.683,0.842,1,-1.935,1,0.0421,0.0473,0,0.118,0.949,104.987,audio_features,,3eEPoXCE8euzeFobYQTK9M,spotify:track:3eEPoXCE8euzeFobYQTK9M,https://api.spotify.com/v1/tracks/3eEPoXCE8euzeFobYQTK9M,https://api.spotify.com/v1/audio-analysis/3eEPoXCE8euzeFobYQTK9M,166185,4,country
Long Time Comin',Florida Georgia Line,0.402,0.602,10,-6.1,1,0.0382,0.389,0,0.0915,0.299,119.896,audio_features,,5xMxyWRoe37nUlHDk72cSW,spotify:track:5xMxyWRoe37nUlHDk72cSW,https://api.spotify.com/v1/tracks/5xMxyWRoe37nUlHDk72cSW,https://api.spotify.com/v1/audio-analysis/5xMxyWRoe37nUlHDk72cSW,194773,3,country
Every Small Town,Ben Gallaher,0.584,0.909,2,-4.42,1,0.0415,0.0109,0,0.183,0.58,118.003,audio_features,,0eX4hoyQtk1ntSiryh5LDa,spotify:track:0eX4hoyQtk1ntSiryh5LDa,https://api.spotify.com/v1/tracks/0eX4hoyQtk1ntSiryh5LDa,https://api.spotify.com/v1/audio-analysis/0eX4hoyQtk1ntSiryh5LDa,201973,4,country
